Alabama,1900,11
Alabama,1904,11
Alabama,1908,11
Alabama,1912,12
Alabama,1916,12
Alabama,1920,12
Alabama,1924,12
Alabama,1928,12
Alabama,1932,11
Alabama,1936,11
Alabama,1940,11
Alabama,1944,11
Alabama,1948,11
Alabama,1952,11
Alabama,1956,11
Alabama,1960,11
Alabama,1964,10
Alabama,1968,10
Alabama,1972,9
Alabama,1976,9
Alabama,1980,9
Alabama,1984,9
Alabama,1988,9
Alabama,1992,9
Alabama,1996,9
Alabama,2000,9
Alabama,2004,9
Alabama,2008,9
Alabama,2012,9
Alabama,2016,9
Alabama,2020,9
Alaska,1960,3
Alaska,1964,3
Alaska,1968,3
Alaska,1972,3
Alaska,1976,3
Alaska,1980,3
Alaska,1984,3
Alaska,1988,3
Alaska,1992,3
Alaska,1996,3
Alaska,2000,3
Alaska,2004,3
Alaska,2008,3
Alaska,2012,3
Alaska,2016,3
Alaska,2020,3
Arizona,1912,3
Arizona,1916,3
Arizona,1920,3
Arizona,1924,3
Arizona,1928,3
Arizona,1932,3
Arizona,1936,3
Arizona,1940,3
Arizona,1944,4
Arizona,1948,4
Arizona,1952,4
Arizona,1956,4
Arizona,1960,4
Arizona,1964,5
Arizona,1968,5
Arizona,1972,6
Arizona,1976,6
Arizona,1980,6
Arizona,1984,7
Arizona,1988,7
Arizona,1992,8
Arizona,1996,8
Arizona,2000,8
Arizona,2004,10
Arizona,2008,10
Arizona,2012,11
Arizona,2016,11
Arizona,2020,11
Arkansas,1900,8
Arkansas,1904,9
Arkansas,1908,9
Arkansas,1912,9
Arkansas,1916,9
Arkansas,1920,9
Arkansas,1924,9
Arkansas,1928,9
Arkansas,1932,9
Arkansas,1936,9
Arkansas,1940,9
Arkansas,1944,9
Arkansas,1948,9
Arkansas,1952,8
Arkansas,1956,8
Arkansas,1960,8
Arkansas,1964,6
Arkansas,1968,6
Arkansas,1972,6
Arkansas,1976,6
Arkansas,1980,6
Arkansas,1984,6
Arkansas,1988,6
Arkansas,1992,6
Arkansas,1996,6
Arkansas,2000,6
Arkansas,2004,6
Arkansas,2008,6
Arkansas,2012,6
Arkansas,2016,6
Arkansas,2020,6
California,1900,9
California,1904,10
California,1908,10
California,1912,13
California,1916,13
California,1920,13
California,1924,13
California,1928,13
California,1932,22
California,1936,22
California,1940,22
California,1944,25
California,1948,25
California,1952,32
California,1956,32
California,1960,32
California,1964,40
California,1968,40
California,1972,45
California,1976,45
California,1980,45
California,1984,47
California,1988,47
California,1992,54
California,1996,54
California,2000,54
California,2004,55
California,2008,55
California,2012,55
California,2016,55
California,2020,55
Colorado,1900,4
Colorado,1904,5
Colorado,1908,5
Colorado,1912,6
Colorado,1916,6
Colorado,1920,6
Colorado,1924,6
Colorado,1928,6
Colorado,1932,6
Colorado,1936,6
Colorado,1940,6
Colorado,1944,6
Colorado,1948,6
Colorado,1952,6
Colorado,1956,6
Colorado,1960,6
Colorado,1964,6
Colorado,1968,6
Colorado,1972,7
Colorado,1976,7
Colorado,1980,7
Colorado,1984,8
